Territori,Tipus de territori,2015,2016,2017,2018,2019,2020,2021,2022
Barcelona,Municipi,"100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00"
Ciutat Vella,Districte,"67,15","66,74","68,81","69,42","69,18","67,22","70,24","73,23"
el Raval,Barri,"57,00","55,97","58,05","58,19","57,28","54,29","58,17","60,94"
el Barri Gòtic,Barri,"75,95","75,62","77,63","78,04","78,51","77,32","78,99","83,07"
la Barceloneta,Barri,"74,15","72,93","73,64","74,11","74,07","72,53","77,21","78,43"
"Sant Pere, Santa Caterina i la Ribera",Barri,"77,71","79,12","81,92","83,50","83,23","81,17","82,75","85,45"
Eixample,Districte,"112,98","113,66","113,97","113,42","113,99","113,52","112,53","112,77"
el Fort Pienc,Barri,"104,81","104,03","104,46","103,74","104,43","103,86","105,17","105,50"
la Sagrada Família,Barri,"104,41","102,89","101,81","101,97","101,41","101,71","102,68","101,86"
la Dreta de l'Eixample,Barri,"129,38","135,29","135,75","133,83","136,86","132,32","125,83","128,93"
l'Antiga Esquerra de l'Eixample,Barri,"120,66","122,08","124,11","124,40","124,13","125,17","121,67","122,90"
la Nova Esquerra de l'Eixample,Barri,"114,66","113,87","113,84","113,71","113,95","114,84","114,89","113,57"
Sant Antoni,Barri,"101,52","101,88","102,28","101,08","101,76","101,41","102,65","102,76"
Sants-Montjuïc,Districte,"87,41","85,78","85,44","85,76","85,27","86,00","88,62","88,32"
el Poble Sec - AEI Parc de Montjuïc,Barri,"74,70","73,45","74,38","74,34","74,47","74,04","77,49","79,27"
la Marina del Prat Vermell - AEI Zona Franca,Barri,"60,45","60,07","62,28","61,82","59,31","64,75","68,67","69,65"
la Marina de Port,Barri,"79,22","77,32","76,17","76,38","75,44","76,11","79,75","78,96"
la Font de la Guatlla,Barri,"95,09","92,74","93,10","92,51","91,99","93,86","94,64","95,11"
Hostafrancs,Barri,"90,73","89,53","89,10","88,51","88,54","88,47","90,68","90,79"
la Bordeta,Barri,"91,64","90,17","89,77","89,35","89,94","90,93","93,46","92,60"
